Durée Immunité,Proportion max infectée,Durée Epidemie,Distribution Multi-Infections
10,41,99,0.92
20,61,99,1.09
30,50,99,1.1766666666666667
40,58,99,1.365
50,41,99,1.426
60,20,99,1.4816666666666667
70,47,99,1.3571428571428572
80,54,99,1.32125
90,51,99,1.278888888888889
100,30,99,1.307
110,36,99,1.329090909090909
120,22,99,1.3308333333333333
130,35,99,1.3376923076923077
140,14,99,1.3464285714285715
150,30,99,1.35
160,23,99,1.31625
170,29,99,1.2635294117647058
180,38,99,1.22
190,41,99,1.2173684210526317
200,24,99,1.218
